,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/westwood:1,16,16.0-17.0 sec,43.8,KBytes,359,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,18,18.0-19.0 sec,43.8,KBytes,359,Kbits/sec,41.0,KBytes,336,Kbits/sec
reno/westwood:1,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,20,0.0-20.5 sec,499,KBytes,200,Kbits/sec,441,KBytes,176,Kbits/sec
reno/westwood:2,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/westwood:2,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,2,2.0- 3.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:2,3,3.0- 4.0 sec,0.00,Bytes,0.00,bits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:2,4,4.0- 5.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,5,5.0- 6.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:2,6,6.0- 7.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:2,7,7.0- 8.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,8,8.0- 9.0 sec,32.5,KBytes,266,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:2,9,9.0-10.0 sec,35.4,KBytes,290,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,10,10.0-11.0 sec,1.41,KBytes,11.6,Kbits/sec,33.9,KBytes,278,Kbits/sec
reno/westwood:2,11,11.0-12.0 sec,35.4,KBytes,290,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,12,12.0-13.0 sec,1.41,KBytes,11.6,Kbits/sec,32.5,KBytes,266,Kbits/sec
reno/westwood:2,13,13.0-14.0 sec,36.8,KBytes,301,Kbits/sec,38.2,KBytes,313,Kbits/sec
reno/westwood:2,14,14.0-15.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,15,15.0-16.0 sec,38.2,KBytes,313,Kbits/sec,38.2,KBytes,313,Kbits/sec
reno/westwood:2,16,16.0-17.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,17,17.0-18.0 sec,39.6,KBytes,324,Kbits/sec,36.8,KBytes,301,Kbits/sec
reno/westwood:2,18,18.0-19.0 sec,2.83,KBytes,23.2,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,19,19.0-20.0 sec,42.4,KBytes,348,Kbits/sec,36.8,KBytes,301,Kbits/sec
reno/westwood:2,20,0.0-20.5 sec,530,KBytes,212,Kbits/sec,477,KBytes,191,Kbits/sec
reno/westwood:3,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/westwood:3,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,2,2.0- 3.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:3,3,3.0- 4.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:3,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,5,5.0- 6.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:3,6,6.0- 7.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:3,7,7.0- 8.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
