,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/westwood:3,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,192,KBytes,1.58,Mbits/sec
reno/westwood:3,7,7.0- 8.0 sec,63.6,KBytes,521,Kbits/sec,48.1,KBytes,394,Kbits/sec
reno/westwood:3,8,8.0- 9.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,9,9.0-10.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,10,10.0-11.0 sec,0.00,Bytes,0.00,bits/sec,70.7,KBytes,579,Kbits/sec
reno/westwood:3,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,132,KBytes,1.08,Mbits/sec
reno/westwood:3,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/westwood:3,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,14,14.0-15.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,15,15.0-16.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/westwood:3,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,318,KBytes,2.61,Mbits/sec
reno/westwood:3,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/westwood:3,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/westwood:4,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,167,KBytes,1.37,Mbits/sec
reno/westwood:4,1,1.0- 2.0 sec,0.00,Bytes,0.00,bits/sec,62.2,KBytes,510,Kbits/sec
